remark;"CSV-Import-Export"
remark;"Date = Fri Jul 29 11:57:42 2022"
remark;"Version = RSLogix 5000 v31.02"
remark;"Owner = enviro"
remark;"Company = "
0.3
TYPE;SCOPE;NAME;DESCRIPTION;DATATYPE;SPECIFIER;ATTRIBUTES
TAG;;Rack2_ENBT:2:C;"";"AB:1756_DI:C:0";"";"(ExternalAccess := Read/Write)"
ALIAS;;Rack2_ENBT:2:I;"";"";"Rack2_ENBT:I.Slot[2]";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:3:C;"";"AB:1756_DI:C:0";"";"(ExternalAccess := Read/Write)"
ALIAS;;Rack2_ENBT:3:I;"";"";"Rack2_ENBT:I.Slot[3]";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:4:C;"";"AB:1756_DO:C:0";"";"(ExternalAccess := Read/Write)"
ALIAS;;Rack2_ENBT:4:I;"";"";"Rack2_ENBT:I.Slot[4]";"(ExternalAccess := Read/Write)"
ALIAS;;Rack2_ENBT:4:O;"";"";"Rack2_ENBT:O.Slot[4]";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:5:C;"";"AB:1756_IF16_Float_No_Alm:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:5:I;"";"AB:1756_IF16_Float_No_Alm:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:6:C;"";"AB:1756_IF8_Float:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:6:I;"";"AB:1756_IF8_Float:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:7:C;"";"AB:1756_OF8_Float:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:7:I;"";"AB:1756_OF8_Float:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:7:O;"";"AB:1756_OF8_Float:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:I;"";"AB:1756_ENET_13SLOT:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;Rack2_ENBT:O;"";"AB:1756_ENET_13SLOT:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;SUBESTACION:I;"";"AB:1756_ENET_10SLOT:I:0";"";"(ExternalAccess := Read/Write)"
TAG;;SUBESTACION:O;"";"AB:1756_ENET_10SLOT:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Chasis_2:10:C;"";"AB:1756_OF8_Float:C:0";"";"(ExternalAccess := Read/Write)"
TAG;;Chasis_2:10:I;"";"AB:1756_OF8_Float:I:0";"";"(EngineeringUnit.CH0DATA := ""%"", EngineeringUnit.CH1DATA := ""%"", EngineeringUnit.CH2DATA := ""%"", EngineeringUnit.CH3DATA := ""%"", EngineeringUnit.CH4DATA := ""%"", EngineeringUnit.CH5DATA := ""%"", EngineeringUnit.CH6DATA := ""%"", EngineeringUnit.CH7DATA := ""%"", ExternalAccess := Read/Write)"
TAG;;Chasis_2:10:O;"";"AB:1756_OF8_Float:O:0";"";"(ExternalAccess := Read/Write)"
TAG;;Chasis_2:1:C;"";"AB:1756_IF16_Float_No_Alm:C:0";"";"(ExternalAccess := Read/Write)"
